,ddf,pa,asm,cds,qas,asf,om,rci,dmc,is,or,ps,re,svp,ddp,pr,an
BERT_female,0.0,0.031,0.117,0.224,0.04,0.009,0.0,0.0,0.045,0.004,0.094,0.0,0.0,0.031,0.0,0.323,0.081
BERT_male,0.0,0.064,0.134,0.262,0.064,0.037,0.021,0.0,0.128,0.005,0.005,0.0,0.011,0.037,0.021,0.091,0.118
RoBERTa_female,0.0,0.0,0.071,0.15,0.019,0.038,0.004,0.0,0.038,0.004,0.064,0.0,0.023,0.041,0.0,0.425,0.124
RoBERTa_male,0.034,0.008,0.08,0.359,0.103,0.031,0.034,0.0,0.115,0.0,0.008,0.0,0.011,0.034,0.015,0.084,0.084
hateBERT_female,0.041,0.0,0.139,0.129,0.039,0.015,0.0,0.0,0.144,0.062,0.044,0.0,0.044,0.005,0.062,0.18,0.098
hateBERT_male,0.009,0.0,0.214,0.145,0.057,0.006,0.0,0.0,0.16,0.04,0.028,0.0,0.028,0.014,0.094,0.088,0.117
GPT2_female,0.0,0.0,0.388,0.043,0.017,0.009,0.0,0.0,0.047,0.009,0.022,0.0,0.009,0.013,0.026,0.392,0.026
GPT2_male,0.0,0.006,0.463,0.136,0.034,0.017,0.006,0.0,0.056,0.028,0.011,0.0,0.017,0.0,0.011,0.198,0.017
xlnet_female,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xlnet_male,0.0,0.0,0.089,0.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
